date,tp
22/04/2021,0.011421587
23/04/2021,0.030102959
24/04/2021,0.032402433
25/04/2021,0.022657616
26/04/2021,0.004410743
27/04/2021,0.026635334
28/04/2021,0.15224981
29/04/2021,0.044610724
30/04/2021,0.06488307
01/05/2021,0.023321275
02/05/2021,0.1995272
03/05/2021,0.040907435
04/05/2021,0.06427481
05/05/2021,0.007577738
06/05/2021,0.110616826
07/05/2021,0.08458182
08/05/2021,0.06754515
09/05/2021,0.0170681
10/05/2021,0.001565625
11/05/2021,0.002782869
12/05/2021,0.003042498
13/05/2021,0.000331136
14/05/2021,0.005180357
15/05/2021,0.002045105
16/05/2021,0.003173627
17/05/2021,0.014312986
18/05/2021,0.0687704
19/05/2021,0.21515836
20/05/2021,0.16636099
21/05/2021,0.038103275
22/05/2021,0.053641327
23/05/2021,0.073092796
24/05/2021,0.04439618
25/05/2021,0.033202335
26/05/2021,0.035929844
27/05/2021,0.20003721
28/05/2021,0.33675107
29/05/2021,0.12447308
30/05/2021,0.17732938
31/05/2021,0.1165485
01/06/2021,0.097628444
02/06/2021,0.041564334
03/06/2021,0.045543164
04/06/2021,0.046066497
05/06/2021,0.02014903
06/06/2021,0.030341366
07/06/2021,0.033864867
08/06/2021,0.013540812
09/06/2021,0.019611219
10/06/2021,0.0789033
11/06/2021,0.09539786
12/06/2021,0.021961065
13/06/2021,0.12556809
14/06/2021,0.37551403
15/06/2021,0.35189995
16/06/2021,0.48211446
17/06/2021,0.2460684
18/06/2021,0.17728557
19/06/2021,0.46442652
20/06/2021,0.35044378
21/06/2021,0.24388964
22/06/2021,0.13234237
23/06/2021,0.6225639
24/06/2021,0.41749817
25/06/2021,0.4489405
26/06/2021,0.34170988
27/06/2021,0.13213967
28/06/2021,0.35084775
29/06/2021,0.090659566
30/06/2021,0.01730387
01/07/2021,0.031659488
02/07/2021,0.013412375
03/07/2021,0.023354344
04/07/2021,0.007647956
05/07/2021,0.002826569
06/07/2021,0
07/07/2021,0.002507375
08/07/2021,0.07776812
09/07/2021,0.38800627
