date,mean_surface_pressure_hPa
21/05/2022,1006.80786
22/05/2022,1005.66437
23/05/2022,1006.31726
24/05/2022,1008.0007
25/05/2022,1007.4308
26/05/2022,1007.70636
27/05/2022,1007.2322
28/05/2022,1006.44714
29/05/2022,1006.0945
30/05/2022,1005.51733
31/05/2022,1005.79156
01/06/2022,1006.5586
02/06/2022,1006.8569
03/06/2022,1007.1759
04/06/2022,1007.49426
05/06/2022,1007.19543
06/06/2022,1006.6364
07/06/2022,1006.2234
08/06/2022,1006.553
09/06/2022,1006.8962
10/06/2022,1006.54956
11/06/2022,1006.7783
12/06/2022,1007.4275
13/06/2022,1007.75714
14/06/2022,1007.64996
15/06/2022,1007.5572
16/06/2022,1007.49304
17/06/2022,1007.5162
18/06/2022,1007.61163
19/06/2022,1007.04266
20/06/2022,1005.5612
21/06/2022,1006.1515
22/06/2022,1007.58234
23/06/2022,1007.6391
24/06/2022,1006.48315
25/06/2022,1006.0642
26/06/2022,1007.7549
27/06/2022,1007.14874
28/06/2022,1006.0017
29/06/2022,1005.51086
30/06/2022,1005.98926
01/07/2022,1005.9097
02/07/2022,1005.51465
03/07/2022,1005.4988
04/07/2022,1006.16724
05/07/2022,1006.9481
06/07/2022,1008.0371
07/07/2022,1007.5474
08/07/2022,1006.77466
09/07/2022,1006.79926
10/07/2022,1007.0706
